id_cliente,total_compras,total_productos_diferentes,total_facturas,valor_total_compras,valor_medio_por_compra,valor_mediano_por_compra,precio_unitario_medio,cantidad_total_productos,cantidad_media_por_compra,primer_compra,ultima_compra,dias_como_cliente,dia_semana_favorito,hora_favorita,pais_principal,paises_diferentes,categorias_productos_diferentes,compras_fines_semana,porcentaje_compras_fines_semana,mes_mas_activo,meses_diferentes_compra,tiempo_medio_entre_compras,tiempo_mediano_entre_compras,frecuencia_compra,meses_activo,valor_mensual_medio,compras_mensuales_medias,categoria_favorita,diversidad_categorias
17850.0,297,21,34,5391.210000000001,18.152222222222225,15.299999999999999,3.9603703703703705,1733,5.835016835016835,2010-12-01 08:26:00,2010-12-02 15:27:00,2,4,9,United Kingdom,1,3,0,0.0,12,1,0.0,0.0,148.5,1,5391.21,297.0,otros,3
13047.0,172,106,10,3237.54,18.822906976744186,17.4,3.93203488372093,1391,8.087209302325581,2010-12-01 08:34:00,2011-11-08 12:06:00,343,3,13,United Kingdom,1,6,32,18.6046511627907,6,8,1.9883040935672514,0.0,0.5014577259475219,8,404.6925,21.5,otros,6
12583.0,247,115,15,7281.379999999999,29.479271255060727,20.4,3.1036032388663966,5060,20.48582995951417,2010-12-01 08:45:00,2011-12-07 08:07:00,371,5,12,France,1,6,14,5.668016194331984,11,11,1.4796747967479675,0.0,0.6657681940700808,12,606.7816666666666,20.583333333333332,otros,6
13748.0,28,24,5,948.2499999999999,33.86607142857142,16.25,3.9964285714285714,439,15.678571428571429,2010-12-01 09:00:00,2011-09-05 09:45:00,279,1,9,United Kingdom,1,4,0,0.0,9,3,10.25925925925926,0.0,0.1003584229390681,3,316.0833333333333,9.333333333333334,otros,4
15100.0,3,1,3,876.0,292.0,350.4,10.949999999999998,80,26.666666666666668,2010-12-01 09:09:00,2011-01-10 10:35:00,41,3,9,United Kingdom,1,1,0,0.0,12,2,19.5,19.5,0.07317073170731707,2,438.0,1.5,otros,1
15291.0,103,62,15,4668.300000000001,45.323300970873795,20.4,5.093495145631068,2103,20.41747572815534,2010-12-01 09:32:00,2011-11-14 11:02:00,349,3,16,United Kingdom,1,5,18,17.475728155339805,1,7,3.3529411764705883,0.0,0.29512893982808025,7,666.9,14.714285714285714,otros,5
14688.0,324,148,21,5579.1,17.219444444444445,10.08,2.1364814814814816,3584,11.061728395061728,2010-12-01 09:37:00,2011-12-02 12:26:00,367,2,12,United Kingdom,1,4,0,0.0,12,11,1.105263157894737,0.0,0.8828337874659401,12,464.925,27.0,otros,4
17809.0,61,46,12,5411.91,88.71983606557377,61.199999999999996,2.9057377049180317,2057,33.721311475409834,2010-12-01 09:41:00,2011-11-23 12:59:00,358,5,15,United Kingdom,1,3,0,0.0,10,8,5.883333333333334,0.0,0.17039106145251395,8,676.48875,7.625,otros,3
15311.0,2366,567,91,60632.75,25.626690617075234,5.95,2.5102324598478445,38147,16.12299239222316,2010-12-01 09:41:00,2011-12-09 12:00:00,374,2,13,United Kingdom,1,5,97,4.099746407438715,1,12,0.1365750528541226,0.0,6.32620320855615,13,4664.057692307692,182.0,otros,5
16098.0,67,34,7,2005.63,29.934776119402986,19.5,4.424626865671641,613,9.149253731343284,2010-12-01 09:45:00,2011-09-13 09:59:00,287,2,9,United Kingdom,1,4,0,0.0,9,7,4.2727272727272725,0.0,0.23344947735191637,7,286.5185714285714,9.571428571428571,otros,4
